id,InfrastID,WBS,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,R6,1.2.2,Bridges,Bridge Maintenance,Bankhead Avenue,Removal of abandoned bridge structure over Southern Railroad between Marietta Street & Northside Drive.,High,"$290,000 ",,,,,,NW,,NW,,,1,"$200,000 ",3,,,3,,,,,,,,,,,1,"$290,000 ",L,,,,,English Avenue,,,,,,,,,,,Donald L. Hollowell Parkway,,,,,,Yes,High Bridge Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,1.4.5,Traffic,Traffic Signals,Traffic Signal Steel Pole Replacements,Replacement of obsolete traffic signal poles.,High,"$1,219,800 ",,,,,,"NE, NW, SE, SW",NE,NW,SE,SW,0.25,"$304,950 ",,,,,,,,,,,,,,CW,1,"$1,219,800 ",,,,,,,,,,,,,,,,,,,,,,,,High Traffic Signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,Resurfacing projects in Council District 10.,High,"$1,262,500 ",,,,,,"NW, SW",,NW,,SW,0.5,"$631,250 ",,,,,,,,,,,10,,,,1,"$1,262,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,R5,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,Resurfacing projects in Council District 10.,High,"$1,262,500 ",,,,,,"NW, SW",,NW,,SW,0.5,"$631,250 ",,,,,,,,,,,10,,,,1,"$1,262,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,C75,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,Resurfacing projects in Council District 10.,Medium,"$1,262,500 ",,,,,,"NW, SW",,NW,,SW,0.5,"$631,250 ",,,,,,,,,,,10,,,,1,"$1,262,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,Resurfacing projects in Council District 10.,Medium,"$1,262,500 ",,,,,,"NW, SW",,NW,,SW,0.5,"$631,250 ",,,,,,,,,,,10,,,,1,"$1,262,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,R4,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,Resurfacing projects in Council District 10.,Medium,"$1,262,500 ",,,,,,"NW, SW",,NW,,SW,0.5,"$631,250 ",,,,,,,,,,,10,,,,1,"$1,262,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,1.4.5,Traffic,Traffic Signals,Dekalb Avenue,Replacement of reversible lane traffic signal system from Jackson Street to Oxford Place.,High,"$1,336,054 ",,,Oxford Place.,,,"NE, SE",NE,,SE,,0.5,"$668,027 ",,,2,,,5,6,,,,,,,,0.333,"$444,906 ",M,N,O,,,Sweet Auburn,Old Fourth Ward,Inman Park,Cabbagetown,Reynoldstown,Candler Park,Lake Claire,Edgewood,Kirkwood,,,Dekalb Avenue,,,,,,No,High Traffic Signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,Resurfacing projects in Council District 2.,High,"$1,425,000 ",,,,,,"NE, NW",NE,NW,,,0.5,"$712,500 ",,,2,,,,,,,,,,,,1,"$1,425,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,Resurfacing projects in Council District 2.,High,"$1,425,000 ",,,,,,"NE, NW",NE,NW,,,0.5,"$712,500 ",,,2,,,,,,,,,,,,1,"$1,425,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
