"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
121-0055-0,1.2.2,Bridges,Bridge Maintenance,McDonough Boulevard,,Repairs to bridge CSX Railroad between Milton Street and Grant Street.,Low,"$75,000",0%,,"$75,000",SE,,,SE,,1.000,"$75,000",,1,,,,,,,,,,,,,1.000,"$75,000",Y,,,,,Chosewood Park,,,,,,,,,,,McDonough Boulevard,,,,,,No,Low Bridge Maintenance,4
121-0376-0,1.2.2,Bridges,Bridge Maintenance,Browns Mill Road,,Major repairs to bridge over South River between Bromack Road & McWilliams Road.,Low,"$300,000",0%,,"$300,000",SE,,,SE,,1.000,"$300,000",,1,,,,,,,,,,,,,1.000,"$300,000",Z,,,,,Lakewood,Browns Mill Park,,,,,,,,,,,,,Browns Mill Road,,,No,Low Bridge Maintenance,4
121-5231-0,1.2.2,Bridges,Bridge Maintenance,Forrest Park Road,,Major repairs to bridge over Southern Railroad between Lewis Road & Thomasville Drive.,Low,"$200,000",0%,,"$200,000",SE,,,SE,,1.000,"$200,000",,1,,,,,,,,,,,,,1.000,"$200,000",Z,,,,,Thomasville Heights,,,,,,,,,,,,,,Forrest Park Road,,,No,Low Bridge Maintenance,4
121-0354-0,1.2.2,Bridges,Bridge Maintenance,Campbellton Road,,Major repairs to bridge over South Utoy Creek between Wells Drive & Rena Circle.,Low,"$180,000",0%,,"$180,000",SW,,,,SW,1.000,"$180,000",,,,,,,,,,,,11,,,1.000,"$180,000",R,,,,,Southwest,Campbellton Road,,,,,,,,,,Campbellton Road,,,,,,No,Low Bridge Maintenance,4
121-0350-0,1.2.2,Bridges,Bridge Maintenance,Childress Drive,,Major repairs to bridge over South Utoy Creek between Key Drive & Cascade Road.,Low,"$180,000",0%,,"$180,000",SW,,,,SW,1.000,"$180,000",,,,,,,,,,,,11,,,1.000,"$180,000",I,R,,,,Cascade Heights,Southwest,,,,,,,,,,,,,Childress Drive,,,No,Low Bridge Maintenance,4
121-0319-0,1.2.2,Bridges,Bridge Maintenance,Dodson Drive,,Major repairs to bridge over South Utoy Creek between Canover Street & Head Road.,Low,"$94,000",0%,,"$94,000",SW,,,,SW,1.000,"$94,000",,,,,,,,,,,,11,,,1.000,"$94,000",R,,,,,Laurens Valley,Southwest,,,,,,,,,,,,,Dodson Drive,,,No,Low Bridge Maintenance,4
121-0362-0,1.2.2,Bridges,Bridge Maintenance,Welcome All Road,,Major repairs to bridge over Camp Creek  between Camp Creek Parkway & Ben Hill Road.,Medium,"$2,000,000",0%,,"$2,000,000",SW,,,,SW,1.000,"$2,000,000",,,,,,,,,,,,11,,,1.000,"$2,000,000",P,,,,,Ben Hill,,,,,,,,,,,,,,,,,No,Medium Bridge Maintenance,5
121-0397-0,1.2.2,Bridges,Bridge Maintenance,Chattahoochee Avenue,,Repairs to bridge over Peachtree Creek Tributary between Marietta Boulevard and Marietta Road.,Low,"$75,000",0%,,"$75,000",NW,,NW,,,1.000,"$75,000",,,,,,,,,,9,,,,,1.000,"$75,000",D,,,,,Bolton,,,,,,,,,,,,,,Chattahoochee Avenue,,,No,Low Bridge Maintenance,4
121-0404-0,1.2.2,Bridges,Bridge Maintenance,Huff Road,,Major repairs to bridge over CSX Railroad between Booth Street & Boyd Avenue.,Low,"$585,000",0%,,"$585,000",NW,,NW,,,1.000,"$585,000",,,,,,,,,,9,,,,,1.000,"$585,000",D,,,,,Blandtown,,,,,,,,,,,,,,Huff Road,,,No,Low Bridge Maintenance,4
121-0356-0,1.2.2,Bridges,Bridge Maintenance,Johnson Road,,Repairs to bridge over Proctor Creek between Habershall Drive and North Eugenia Place.,Low,"$107,200",0%,,"$107,200",NW,,NW,,,1.000,"$107,200",,,,,,,,,,9,,,,,1.000,"$107,200",G,,,,,Rockdale,,,,,,,,,,,,,,Johnson Road,,,No,Low Bridge Maintenance,4
121-5154-0,1.2.2,Bridges,Bridge Maintenance,Lotus Avenue,,Major repairs to bridge over Proctor Creek Tributary between Brooks Avenue & Saint James Drive. ,Low,"$135,100",0%,,"$135,100",NW,,NW,,,1.000,"$135,100",,,,,,,,,,9,,,,,1.000,"$135,100",G,,,,,Almond Park,,,,,,,,,,,,,,,,,No,Low Bridge Maintenance,4
121-5149-0,1.2.2,Bridges,Bridge Maintenance,Marietta Road,,Major repairs to bridge over CSX Railroad between Thomas Street and Sweat Road,Low,"$200,000",0%,,"$200,000",NW,,NW,,,1.000,"$200,000",,,,,,,,,,9,,,,,1.000,"$200,000",D,,,,,Hills Park,,,,,,,,,,,,,,Marietta Road,,,No,Low Bridge Maintenance,4
121-0324-0,1.2.2,Bridges,Bridge Maintenance,Moores Mill Road,,Major repairs to bridge over CSX Railroad between Coronet Way & Ridgewood Road.,Low,"$626,000",0%,,"$626,000",NW,,NW,,,1.000,"$626,000",,,,,,,,,,9,,,,,1.000,"$626,000",C,,,,,Ridgewood Heights,,,,,,,,,,,,,,Moores Mill Road,,,No,Low Bridge Maintenance,4
121-0439-0,1.2.2,Bridges,Bridge Maintenance,Ridgewood Road,,Major repairs to bridge.,Low,"$329,400",0%,,"$329,400",NW,,NW,,,1.000,"$329,400",,,,,,,,,,9,,,,,1.000,"$329,400",A,,,,,Paces,,,,,,,,,,,,,,Ridgewood Road,,,No,Low Bridge Maintenance,4
121-0403-0,1.2.2,Bridges,Bridge Maintenance,Howell Mill Road,,Major repairs to bridge over Peachtree Creek  between Peachtree Battle Avenue & Wesley Drive.,Medium,"$2,476,000",0%,,"$2,476,000",NW,,NW,,,1.000,"$2,476,000",,,,,,,,,8,,,,,,1.000,"$2,476,000",C,,,,,Brandon,,,,,,,,,,,Howell Mill Road,,,,,,No,Medium Bridge Maintenance,1
121-0435-0,1.2.2,Bridges,Bridge Maintenance,Collier Road,,Major repairs to bridge over Peachtree Creek Tributary between I-75 & Emery Street.,Low,"$315,000",0%,,"$315,000",NW,,NW,,,1.000,"$315,000",,,,,,,,,8,,,,,,1.000,"$315,000",C,,,,,Wildwood,,,,,,,,,,,,,,Collier Road,,,No,Low Bridge Maintenance,4
121-5037-0,1.2.2,Bridges,Bridge Maintenance,Lake Forest Drive,,Repairs to bridge over Nancy Creek between Lake Forrest Lane & Parkside Court.,Low,"$50,000",0%,,"$50,000",NW,,NW,,,1.000,"$50,000",,,,,,,,,8,,,,,,1.000,"$50,000",A,B,,,,Chastain Park,East Chastain Park,,,,,,,,,,,,,Lake Forest Drive,,,No,Low Bridge Maintenance,4
121-0399-0,1.2.2,Bridges,Bridge Maintenance,West Wesley Road,,Major repairs to bridge between Ridgewood Road and West Wesley Ridge.,Low,"$430,400",0%,,"$430,400",NW,,NW,,,1.000,"$430,400",,,,,,,,,8,,,,,,1.000,"$430,400",A,,,,,Paces,,,,,,,,,,,,,,West Wesley Road,,,No,Low Bridge Maintenance,4
121-0036-0,1.2.2,Bridges,Bridge Maintenance,Piedmont Avenue,,Major repairs to bridge over Southern Railroad between I-85 & Lakeshore Drive.,Low,"$331,000",0%,,"$331,000",NE,NE,,,,1.000,"$331,000",,,,,,,,7,,,,,,,1.000,"$331,000",F,,,,,Lindridge/Martin Manor,Morningside/Lenox Park,,,,,,,,,,Piedmont Avenue,,,,,,No,Low Bridge Maintenance,4
121-5203-0,1.2.2,Bridges,Bridge Maintenance,Garson Drive,,Repairs to bridge over MARTA between Piedmont Avenue and Lindbergh Drive.,Low,"$60,000",0%,,"$60,000",NE,NE,,,,1.000,"$60,000",,,,,,,,7,,,,,,,1.000,"$60,000",B,,,,,Lindbergh/Morosgo,,,,,,,,,,,,,,,,,No,Low Bridge Maintenance,4
121-5125-0,1.2.2,Bridges,Bridge Maintenance,Lakemoore Drive,,Repairs to bridge over Nancy Creek Tributary between Roswell Road & Rickenbacker Drive.,Low,"$72,000",0%,,"$72,000",NE,NE,,,,1.000,"$72,000",,,,,,,,7,,,,,,,1.000,"$72,000",B,,,,,North Buckhead,,,,,,,,,,,,,,,,,No,Low Bridge Maintenance,4
121-0039-0,1.2.2,Bridges,Bridge Maintenance,Cheshire Bridge Road,,Major repairs to bridge over South Fork Peachtree Creek between Woodland Avenue & Faulkner Road.,Low,"$914,000",0%,,"$914,000",NE,NE,,,,1.000,"$914,000",,,,,,,6,,,,,,,,1.000,"$914,000",F,,,,,Lindridge/Martin Manor,,,,,,,,,,,Cheshire Bridge Road,,,,,,No,Low Bridge Maintenance,4
121-0038-0,1.2.2,Bridges,Bridge Maintenance,Cheshire Bridge Road,,Major repairs to bridge over CSX Railroad between Faulkner Road and Wellborne Drive.,Low,"$2,232,000",0%,,"$2,232,000",NE,NE,,,,1.000,"$2,232,000",,,,,,,6,,,,,,,,1.000,"$2,232,000",F,,,,,Lindridge/Martin Manor,Morningside/Lenox Park,,,,,,,,,,Cheshire Bridge Road,,,,,,No,Low Bridge Maintenance,4
121-0037-0,1.2.2,Bridges,Bridge Maintenance,Piedmont Avenue,,Major repairs to bridge over Clear Creek between Monroe Drive & Avery Drive.,Low,"$2,862,000",0%,,"$2,862,000",NE,NE,,,,1.000,"$2,862,000",,,,,,,6,,,,,,,,1.000,"$2,862,000",F,,,,,Piedmont Heights,Morningside/Lenox Park,,,,,,,,,,Piedmont Avenue,,,,,,No,Low Bridge Maintenance,4
