id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
1,1,,,,,2151-E,Transportation,Traffic,Traffic Communication Corridor,10th Street,"Upgrades along 10th Street, from Howell Mill Road to Fowler Street, to optimize signal operations and communications network to ATCC.",High,"$266,400","10 10th Street NE, Atlanta, GA 30309",10 10th Street NE,,33.7814924,-84.3875728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,2022-E,Transportation,Roadway,Roadway Resurfacing,10th Street,Resurfacing from Piedmont Avenue to Monroe Drive.,High,"$349,110.00","230 10th Street Northeast, Atlanta, GA 30309",230 10th Street Northeast,,33.7819636,-84.3798915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,2024-E,Transportation,Roadway,Roadway Resurfacing,14th Street - Phase 1,Resurfacing from Howell Mill Road to Northside Drive,High,"$32,871.00","35 14th Street Northeast, Atlanta, GA 30309",35 14th Street Northeast,,33.7863702,-84.3864588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,2025-E,Transportation,Roadway,Roadway Resurfacing,14th Street - Phase 2,Resurfacing from Piedmont Avenue to Peachtree Street.,High,"$138,920.00","1280 Peachtree Street Northeast, Atlanta, GA 30309",1280 Peachtree Street Northeast,,33.7891582,-84.3849351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,2023-E,Transportation,Roadway,Roadway Resurfacing,14th Street - Phase 3,14th Street - Phase 3: Resurfacing from Peachtree Street to West Peachtree Street,High,"$110,000.00","626 14th Street Northwest, Atlanta, GA 30318",626 14th Street Northwest,,33.785929,-84.407942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,2174-E,Transportation,Traffic,Traffic Signals,14th Street @ Howell Mill Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","691 14th Street Northwest, Atlanta, GA 30318",691 14th Street Northwest,,33.7860713,-84.4108453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,2152-E,Transportation,Traffic,Traffic Communication Corridor,14th street,"Upgrades along 14th Street, from Northside Drive to Techwood Drive, to optimize signal operations and communications network to ATCC.",High,"$266,400","365 14th Street Northwest, Atlanta, GA 30318",365 14th Street Northwest,,33.754416,-84.3990576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,2261-E,Municiple,Public Buildings,Public Buildings,2 City Plaza (72 Marietta),Elevator and HVAC repairs,High,,"72 Marietta St, Atlanta, GA 30303",72 Marietta St,,33.756087,-84.392017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,2268-E,Municipal,Public Buildings,Public Buildings,Atlanta Workforce Development Agency,"Replace water damaged skylights, replace roof, replace the air systems and controls",High,,"818 Pollard Blvd SW, Atlanta, GA 30315",818 Pollard Blvd SW,,33.73256,-84.390459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,2107-E,Transportation,Sidewalks,ADA Ramps,ADA Ramp Replacement Program,Replacement and installation of ADA ramps to standard for ADA compliance. -Program,High,"$5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,2336-E,Municipal,Public Art,Public Art,Adamsville Music Pavilion,"Paint restoration, re-attach stainless bench.",,,"3201 Martin Luther King Jr. Dr., SW 30311",,,33.754121,-84.491847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,2256-E,Municiple,Facility,Parks and Recreation Centers,Adamsville Recreation Center,"Kitchen renovations, interior/exterior finishes.",High,,"3201 Martin Luther King Jr Dr SW, Atlanta, GA 30311",3201 Martin Luther King Jr Dr SW,,33.73256,-84.491868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,2242-E,Municiple,Facility,Parks and Recreation Centers,AD Williams Recreation Center,"ADA upgrades, parking lot repairs, interior/exterior finishes.",High,,"1154 James Jackson Pkwy NW, Atlanta, GA 30318","1154 James Jackson Pkwy NW,",,33.787575,-84.477822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,2175-E,Transportation,Traffic,Traffic Signals,Alston Drive @ Candler Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2901 Alston Dr SE, Atlanta, GA 30317",2901 Alston Dr SE,,33.7448008,-84.2919773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,2153-E,Transportation,Traffic,Traffic Communication Corridor,Atlanta Avenue,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$299,700","168 Atlanta Ave SE, Atlanta, GA 30315",168 Atlanta Ave SE,,33.730707,-84.382413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,2305-E,Municipal,Public Art,Public Art,Atlanta From the Ashes,Bronze restoration.,,,,,,33.7555444,-84.3885359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,2339-E,Municipal,Public Art,Public Art,Attaining Goals,Metal and paint restoration.,,,365 Cleveland Ave. 30315,,,33.681605,-84.401752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,2298-E,Municiple,Public Art,Public Art,Anchored Sail,"Structural Repairs, new bearing, and paint.",,,,,,33.699267,-84.3829244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,2299-E,Municiple,Public Art,Public Art,Andrew Young Tribute Plaza,"Refinish plaza and obelisk.  Reseal plaza and obelisk, repoint granite wall as needed.",,,,,,33.7595013,-84.3894391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,2344-E,Municipal,Public Art,Public Art,Architect For the Future,Address drainage isssues at base pedestal with concrete raising on one end via a poly-foam injection or install drainage system.,,,Marietta St. at Broad St.,,,33.859571,-84.68422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,2346-E,Municipal,Public Art,Public Art,Auburn Historical Plaques,"Weather seals replaced where worn, granite bollards righted, bench repairs and general improvements to plaza .",,,Auburn Ave. at: Auburn Research Library; Courtland St; Jackson St.;  Hilliard St.,,,33.755524,-84.384017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
